Query ID,# Shots,Task ID,Task ID Amp,Network ID,Query Type,# Evidence Variable,# Inferred Var,Path Length,Ground Truth,Device,Query State,Quantum Output,Quantum Output - Amp,Sample Acceptance,Sample Acceptance Amp,k_val,cap_flag,iter_cap,Execution Time,Execution Time Amp,Error,gateDepth,gateDepth Amp,multiQubitGateDepth,multiQubitGateDepth Amp,programDuration,programDuration Amp,programFidelity,programFidelity Amp,qpuRuntimeEstimation,qpuRuntimeEstimation Amp,topologicalSwaps,topologicalSwaps Amp,Error Amp
221,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,7fbbe19a-7696-46fa-8610-cf62aea6c7e7,bn1,Diagnostic,1,1,,0.5,StateVectorSimulator,0,0.44,0.4748603351955307,12.5,89.5,0,0,0,0.022914648056030273,0.0558931827545166,0.06,,,,,,,,,,,,,0.025139664804469275
221,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,7fbbe19a-7696-46fa-8610-cf62aea6c7e7,bn1,Diagnostic,1,1,,0.5,StateVectorSimulator,1,0.56,0.5251396648044693,12.5,89.5,0,0,0,0.022914648056030273,0.0558931827545166,0.06000000000000005,,,,,,,,,,,,,0.025139664804469275
222,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,f0a99c62-0e71-479e-b797-d29ba145ae61,bn1,Diagnostic,1,1,,0.9895957887544539,StateVectorSimulator,0,0.9771428571428572,0.9545454545454546,87.5,11.0,0,1,0,0.022914648056030273,0.2773783206939697,0.012452931611596663,,,,,,,,,,,,,0.03505033420899928
222,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,f0a99c62-0e71-479e-b797-d29ba145ae61,bn1,Diagnostic,1,1,,0.010404211245546122,StateVectorSimulator,1,0.022857142857142857,0.045454545454545456,87.5,11.0,0,1,0,0.022914648056030273,0.2773783206939697,0.012452931611596735,,,,,,,,,,,,,0.035050334208999334
223,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,e611e9af-ac91-46c7-b43a-5514996849a5,bn1,Diagnostic,1,1,,0.944928397855988,StateVectorSimulator,0,0.9572649572649572,0.7741935483870968,58.5,15.5,0,1,0,0.022914648056030273,0.08269309997558594,0.012336559408969161,,,,,,,,,,,,,0.17073484946889128
223,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,e611e9af-ac91-46c7-b43a-5514996849a5,bn1,Diagnostic,1,1,,0.05507160214401193,StateVectorSimulator,1,0.042735042735042736,0.2258064516129032,58.5,15.5,0,1,0,0.022914648056030273,0.08269309997558594,0.012336559408969196,,,,,,,,,,,,,0.17073484946889125
224,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,18170da9-74dd-48a2-b81d-680564db488e,bn1,Diagnostic,1,1,,0.8471592090625915,StateVectorSimulator,0,0.8433734939759037,0.8658536585365854,41.5,82.0,0,0,0,0.022914648056030273,0.055960416793823235,0.003785715086687791,,,,,,,,,,,,,0.0186944494739939
224,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,18170da9-74dd-48a2-b81d-680564db488e,bn1,Diagnostic,1,1,,0.15284079093740846,StateVectorSimulator,1,0.1566265060240964,0.13414634146341464,41.5,82.0,0,0,0,0.022914648056030273,0.055960416793823235,0.0037857150866879297,,,,,,,,,,,,,0.01869444947399382
226,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,3d899fab-3932-4112-9007-2b66a0459241,bn1,Prediction,2,1,,0.331,StateVectorSimulator,0,0.2857142857142857,0.3305785123966942,7.000000000000001,60.5,0,1,0,0.022914648056030273,0.05801081657409667,0.04528571428571432,,,,,,,,,,,,,0.0004214876033057924
226,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,3d899fab-3932-4112-9007-2b66a0459241,bn1,Prediction,2,1,,0.669,StateVectorSimulator,1,0.7142857142857143,0.6694214876033058,7.000000000000001,60.5,0,1,0,0.022914648056030273,0.05801081657409667,0.04528571428571426,,,,,,,,,,,,,0.00042148760330573687
227,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,1a074fd1-6f5b-4ac6-91e5-ce88cb10735a,bn1,Prediction,2,1,,0.6691,StateVectorSimulator,0,0.6257309941520468,0.5454545454545454,85.5,5.5,0,1,0,0.022914648056030273,0.05076503753662109,0.043369005847953224,,,,,,,,,,,,,0.12364545454545461
227,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,1a074fd1-6f5b-4ac6-91e5-ce88cb10735a,bn1,Prediction,2,1,,0.3309,StateVectorSimulator,1,0.3742690058479532,0.4545454545454545,85.5,5.5,0,1,0,0.022914648056030273,0.05076503753662109,0.04336900584795317,,,,,,,,,,,,,0.12364545454545445
228,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,a1c81ba2-0156-4182-8f21-2a38536c3627,bn1,Mixed,2,1,,0.048275192591875835,StateVectorSimulator,0,0.04464285714285714,0.03508771929824561,56.00000000000001,28.5,0,1,0,0.022914648056030273,0.052556514739990234,0.0036323354490186976,,,,,,,,,,,,,0.013187473293630222
228,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,a1c81ba2-0156-4182-8f21-2a38536c3627,bn1,Mixed,2,1,,0.951724807408124,StateVectorSimulator,1,0.9553571428571428,0.9649122807017544,56.00000000000001,28.5,0,1,0,0.022914648056030273,0.052556514739990234,0.003632335449018753,,,,,,,,,,,,,0.013187473293630347
229,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,cf64fd56-042f-4be1-818c-ad563733091f,bn1,Mixed,2,1,,0.17170732838167557,StateVectorSimulator,0,0.08571428571428573,0.1945945945945946,35.0,92.5,0,0,0,0.022914648056030273,0.05170631408691406,0.08599304266738984,,,,,,,,,,,,,0.022887266212919033
229,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,cf64fd56-042f-4be1-818c-ad563733091f,bn1,Mixed,2,1,,0.8282926716183243,StateVectorSimulator,1,0.9142857142857144,0.8054054054054054,35.0,92.5,0,0,0,0.022914648056030273,0.05170631408691406,0.08599304266739005,,,,,,,,,,,,,0.022887266212918922
230,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,430a2b33-badd-4b73-a881-f819f73c3769,bn1,Mixed,2,1,,0.8283143873814194,StateVectorSimulator,0,0.8,0.8615384615384616,2.5,32.5,0,1,0,0.022914648056030273,0.050684213638305664,0.028314387381419337,,,,,,,,,,,,,0.033224074157042205
230,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,430a2b33-badd-4b73-a881-f819f73c3769,bn1,Mixed,2,1,,0.17168561261858065,StateVectorSimulator,1,0.2,0.13846153846153847,2.5,32.5,0,1,0,0.022914648056030273,0.050684213638305664,0.028314387381419365,,,,,,,,,,,,,0.03322407415704218
231,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,d190c178-c8ad-42d6-8640-56cbaf1727fa,bn1,Mixed,2,1,,0.9517318224402629,StateVectorSimulator,0,0.7692307692307693,0.9680851063829788,6.5,47.0,0,1,0,0.022914648056030273,0.051712989807128906,0.1825010532094936,,,,,,,,,,,,,0.016353283942715957
231,200,6b04ac86-8e52-4bc6-8907-486c9d4a69db,d190c178-c8ad-42d6-8640-56cbaf1727fa,bn1,Mixed,2,1,,0.048268177559737044,StateVectorSimulator,1,0.2307692307692308,0.031914893617021274,6.5,47.0,0,1,0,0.022914648056030273,0.051712989807128906,0.18250105320949378,,,,,,,,,,,,,0.01635328394271577
221,400,891f8a31-e8c8-4495-937f-793b7f557811,254aa425-6015-4a98-94f8-8da0c344ec4f,bn1,Diagnostic,1,1,,0.5,StateVectorSimulator,0,0.4927536231884058,0.505524861878453,17.25,90.5,0,0,0,0.019473552703857425,0.051593542098999016,0.00724637681159418,,,,,,,,,,,,,0.0055248618784530246
221,400,891f8a31-e8c8-4495-937f-793b7f557811,254aa425-6015-4a98-94f8-8da0c344ec4f,bn1,Diagnostic,1,1,,0.5,StateVectorSimulator,1,0.5072463768115942,0.49447513812154703,17.25,90.5,0,0,0,0.019473552703857425,0.051593542098999016,0.007246376811594235,,,,,,,,,,,,,0.005524861878452969
222,400,891f8a31-e8c8-4495-937f-793b7f557811,3e0b1496-035c-4013-ace0-6985e8c01e18,bn1,Diagnostic,1,1,,0.9895957887544539,StateVectorSimulator,0,0.9939577039274924,0.9655172413793104,82.75,7.249999999999999,0,1,0,0.019473552703857425,0.05013298988342285,0.004361915173038522,,,,,,,,,,,,,0.024078547375143478
222,400,891f8a31-e8c8-4495-937f-793b7f557811,3e0b1496-035c-4013-ace0-6985e8c01e18,bn1,Diagnostic,1,1,,0.010404211245546122,StateVectorSimulator,1,0.006042296072507553,0.03448275862068965,82.75,7.249999999999999,0,1,0,0.019473552703857425,0.05013298988342285,0.004361915173038569,,,,,,,,,,,,,0.024078547375143526
223,400,891f8a31-e8c8-4495-937f-793b7f557811,6f441076-31fa-4613-bbdc-0f58b73dbec7,bn1,Diagnostic,1,1,,0.944928397855988,StateVectorSimulator,0,0.9387755102040816,0.9444444444444444,61.25000000000001,18.0,0,1,0,0.019473552703857425,0.05320835113525391,0.006152887651906469,,,,,,,,,,,,,0.00048395341154361393
223,400,891f8a31-e8c8-4495-937f-793b7f557811,6f441076-31fa-4613-bbdc-0f58b73dbec7,bn1,Diagnostic,1,1,,0.05507160214401193,StateVectorSimulator,1,0.061224489795918366,0.05555555555555555,61.25000000000001,18.0,0,1,0,0.019473552703857425,0.05320835113525391,0.006152887651906434,,,,,,,,,,,,,0.00048395341154362087
